dataset,prsn,sfcWind,tos,ph,siconc
CMIP6_AS-RCEC_TaiESM1_historical_r1i1p1f1_Amon_gn,v20200623,v20200623,NA,NA,NA
CMIP6_AS-RCEC_TaiESM1_historical_r1i1p1f1_Omon_gn,NA,NA,v20200630,NA,NA
CMIP6_AS-RCEC_TaiESM1_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200630
CMIP6_AS-RCEC_TaiESM1_ssp585_r1i1p1f1_Amon_gn,v20200901,v20200901,NA,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_historical_r1i1p1f1_Amon_gn,v20200511,v20200511,NA,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_historical_r1i1p1f1_Omon_gn,NA,NA,v20181218,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_ssp126_r1i1p1f1_Amon_gn,v20190529,v20190529,NA,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20181218,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_ssp245_r1i1p1f1_Amon_gn,v20190529,v20190529,NA,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20181218,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_ssp370_r1i1p1f1_Amon_gn,v20190529,v20190529,NA,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20181218,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_ssp585_r1i1p1f1_Amon_gn,v20190529,v20190529,NA,NA,NA
CMIP6_AWI_AWI-CM-1-1-MR_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20181218,NA,NA
CMIP6_BCC_BCC-CSM2-MR_historical_r1i1p1f1_Amon_gn,v20181126,v20181126,NA,NA,NA
CMIP6_BCC_BCC-CSM2-MR_historical_r1i1p1f1_Omon_gn,NA,NA,v20181126,NA,NA
CMIP6_BCC_BCC-CSM2-MR_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200218
CMIP6_BCC_BCC-CSM2-MR_ssp126_r1i1p1f1_Amon_gn,v20190314,v20190314,NA,NA,NA
CMIP6_BCC_BCC-CSM2-MR_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20190319,NA,NA
CMIP6_BCC_BCC-CSM2-MR_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200219
CMIP6_BCC_BCC-CSM2-MR_ssp245_r1i1p1f1_Amon_gn,v20190314,v20190314,NA,NA,NA
CMIP6_BCC_BCC-CSM2-MR_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20190319,NA,NA
CMIP6_BCC_BCC-CSM2-MR_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200219
CMIP6_BCC_BCC-CSM2-MR_ssp370_r1i1p1f1_Amon_gn,v20190314,v20190314,NA,NA,NA
CMIP6_BCC_BCC-CSM2-MR_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20190319,NA,NA
CMIP6_BCC_BCC-CSM2-MR_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200219
CMIP6_BCC_BCC-CSM2-MR_ssp585_r1i1p1f1_Amon_gn,v20190314,v20190314,NA,NA,NA
CMIP6_BCC_BCC-CSM2-MR_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20190319,NA,NA
CMIP6_BCC_BCC-CSM2-MR_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200219
CMIP6_CAMS_CAMS-CSM1-0_historical_r2i1p1f1_Amon_gn,v20201125,v20190829,NA,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_historical_r2i1p1f1_Omon_gn,NA,NA,v20190829,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_historical_r2i1p1f1_SImon_gn,NA,NA,NA,NA,v20190829
CMIP6_CAMS_CAMS-CSM1-0_ssp126_r2i1p1f1_Amon_gn,NA,v20190924,NA,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_ssp126_r2i1p1f1_Omon_gn,NA,NA,v20190924,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_ssp126_r2i1p1f1_SImon_gn,NA,NA,NA,NA,v20190924
CMIP6_CAMS_CAMS-CSM1-0_ssp245_r2i1p1f1_Amon_gn,NA,v20190924,NA,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_ssp245_r2i1p1f1_Omon_gn,NA,NA,v20190924,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_ssp245_r2i1p1f1_SImon_gn,NA,NA,NA,NA,v20190924
CMIP6_CAMS_CAMS-CSM1-0_ssp370_r2i1p1f1_Amon_gn,NA,v20190924,NA,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_ssp370_r2i1p1f1_Omon_gn,NA,NA,v20190924,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_ssp370_r2i1p1f1_SImon_gn,NA,NA,NA,NA,v20190924
CMIP6_CAMS_CAMS-CSM1-0_ssp585_r2i1p1f1_Amon_gn,NA,v20190924,NA,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_ssp585_r2i1p1f1_Omon_gn,NA,NA,v20190924,NA,NA
CMIP6_CAMS_CAMS-CSM1-0_ssp585_r2i1p1f1_SImon_gn,NA,NA,NA,NA,v20190924
CMIP6_CAS_FGOALS-g3_historical_r1i1p1f1_Amon_gn,v20190818,v20190818,NA,NA,NA
CMIP6_CAS_FGOALS-g3_historical_r1i1p1f1_Omon_gn,NA,NA,v20191107,NA,NA
CMIP6_CAS_FGOALS-g3_ssp126_r1i1p1f1_Amon_gn,v20200927,v20200927,NA,NA,NA
CMIP6_CAS_FGOALS-g3_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20191229,NA,NA
CMIP6_CAS_FGOALS-g3_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191029
CMIP6_CAS_FGOALS-g3_ssp245_r1i1p1f1_Amon_gn,v20190818,v20190818,NA,NA,NA
CMIP6_CAS_FGOALS-g3_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20191231,NA,NA
CMIP6_CAS_FGOALS-g3_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191029
CMIP6_CAS_FGOALS-g3_ssp370_r1i1p1f1_Amon_gn,v20190820,v20190820,NA,NA,NA
CMIP6_CAS_FGOALS-g3_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20191231,NA,NA
CMIP6_CAS_FGOALS-g3_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191029
CMIP6_CAS_FGOALS-g3_ssp585_r1i1p1f1_Amon_gn,v20190818,v20190818,NA,NA,NA
CMIP6_CAS_FGOALS-g3_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20191229,NA,NA
CMIP6_CAS_FGOALS-g3_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191029
CMIP6_CCCR-IITM_IITM-ESM_historical_r1i1p1f1_Amon_gn,v20191226,v20191226,NA,NA,NA
CMIP6_CCCR-IITM_IITM-ESM_historical_r1i1p1f1_Omon_gn,NA,NA,v20200915,NA,NA
CMIP6_CCCR-IITM_IITM-ESM_ssp126_r1i1p1f1_Amon_gn,"v20200915,v20201112","v20200915,v20201112",NA,NA,NA
CMIP6_CCCR-IITM_IITM-ESM_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20201112,NA,NA
CMIP6_CCCR-IITM_IITM-ESM_ssp245_r1i1p1f1_Amon_gn,v20200915,v20200915,NA,NA,NA
CMIP6_CCCR-IITM_IITM-ESM_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20200915,NA,NA
CMIP6_CCCR-IITM_IITM-ESM_ssp370_r1i1p1f1_Amon_gn,v20200915,v20200915,NA,NA,NA
CMIP6_CCCR-IITM_IITM-ESM_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20200915,NA,NA
CMIP6_CCCR-IITM_IITM-ESM_ssp585_r1i1p1f1_Amon_gn,v20200915,v20200915,NA,NA,NA
CMIP6_CCCR-IITM_IITM-ESM_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20200915,NA,NA
CMIP6_CCCma_CanESM5_historical_r1i1p1f1_Amon_gn,v20190429,v20190429,NA,NA,NA
CMIP6_CCCma_CanESM5_historical_r1i1p1f1_Omon_gn,NA,NA,v20190429,NA,NA
CMIP6_CCCma_CanESM5_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190429
CMIP6_CCCma_CanESM5_ssp126_r1i1p1f1_Amon_gn,v20190429,v20190429,NA,NA,NA
CMIP6_CCCma_CanESM5_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20190429,NA,NA
CMIP6_CCCma_CanESM5_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190429
CMIP6_CCCma_CanESM5_ssp245_r1i1p1f1_Amon_gn,v20190429,v20190429,NA,NA,NA
CMIP6_CCCma_CanESM5_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20190429,NA,NA
CMIP6_CCCma_CanESM5_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190429
CMIP6_CCCma_CanESM5_ssp370_r1i1p1f1_Amon_gn,v20190429,v20190429,NA,NA,NA
CMIP6_CCCma_CanESM5_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20190429,NA,NA
CMIP6_CCCma_CanESM5_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190429
CMIP6_CCCma_CanESM5_ssp460_r1i1p1f1_Amon_gn,v20190429,v20190429,NA,NA,NA
CMIP6_CCCma_CanESM5_ssp585_r1i1p1f1_Amon_gn,v20190429,v20190429,NA,NA,NA
CMIP6_CCCma_CanESM5_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20190429,NA,NA
CMIP6_CCCma_CanESM5_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190429
CMIP6_CMCC_CMCC-CM2-SR5_historical_r1i1p1f1_Amon_gn,v20200616,v20200616,NA,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_historical_r1i1p1f1_Omon_gn,NA,NA,v20200616,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200616
CMIP6_CMCC_CMCC-CM2-SR5_ssp126_r1i1p1f1_Amon_gn,v20200717,v20200717,NA,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20200717,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200717
CMIP6_CMCC_CMCC-CM2-SR5_ssp245_r1i1p1f1_Amon_gn,v20200617,v20200617,NA,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20200617,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200617
CMIP6_CMCC_CMCC-CM2-SR5_ssp370_r1i1p1f1_Amon_gn,v20200622,v20200622,NA,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20200622,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200622
CMIP6_CMCC_CMCC-CM2-SR5_ssp585_r1i1p1f1_Amon_gn,v20200622,v20200622,NA,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20200622,NA,NA
CMIP6_CMCC_CMCC-CM2-SR5_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200622
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_historical_r1i1p1f2_Amon_gr,v20191021,v20191021,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_historical_r1i1p1f2_Omon_gn,NA,NA,v20191021,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_historical_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20191021
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp126_r1i1p1f2_Amon_gr,v20200127,v20200127,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp126_r1i1p1f2_Omon_gn,NA,NA,v20200127,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp126_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20200127
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp245_r1i1p1f2_Amon_gr,v20191202,v20191202,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp245_r1i1p1f2_Omon_gn,NA,NA,v20191202,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp245_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20191202
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp370_r1i1p1f2_Amon_gr,v20200127,v20200127,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp370_r1i1p1f2_Omon_gn,NA,NA,v20200127,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp370_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20200127
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp585_r1i1p1f2_Amon_gr,v20191202,v20191202,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp585_r1i1p1f2_Omon_gn,NA,NA,v20191202,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1-HR_ssp585_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20191202
CMIP6_CNRM-CERFACS_CNRM-CM6-1_historical_r1i1p1f2_Amon_gr,v20180917,v20180917,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_historical_r1i1p1f2_Omon_gr1,NA,NA,v20180917,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_historical_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20180917
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp126_r1i1p1f2_Amon_gr,v20190219,v20190219,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp126_r1i1p1f2_Omon_gr1,NA,NA,v20190219,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp126_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20190219
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp245_r1i1p1f2_Amon_gr,v20190219,v20190219,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp245_r1i1p1f2_Omon_gn,NA,NA,v20190219,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp245_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20190219
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp370_r1i1p1f2_Amon_gr,v20190219,v20190219,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp370_r1i1p1f2_Omon_gr1,NA,NA,v20190219,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp370_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20190219
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp585_r1i1p1f2_Amon_gr,v20190219,v20190219,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp585_r1i1p1f2_Omon_gr1,NA,NA,v20190219,NA,NA
CMIP6_CNRM-CERFACS_CNRM-CM6-1_ssp585_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20190219
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_historical_r1i1p1f2_Amon_gr,v20181206,v20181206,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_historical_r1i1p1f2_Omon_gr1,NA,NA,v20181206,NA,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_historical_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20181206
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp126_r1i1p1f2_Amon_gr,v20190328,v20190328,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp126_r1i1p1f2_Omon_gn,NA,NA,v20190328,v20190328,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp245_r1i1p1f2_Amon_gr,v20190328,v20190328,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp245_r1i1p1f2_Omon_gn,NA,NA,v20190328,v20190328,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp245_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20190328
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp370_r1i1p1f2_Amon_gr,v20191021,v20191021,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp370_r1i1p1f2_Omon_gn,NA,NA,v20191021,v20191021,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp460_r1i1p1f2_Amon_gr,v20190328,v20190328,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp585_r1i1p1f2_Amon_gr,v20191021,v20191021,NA,NA,NA
CMIP6_CNRM-CERFACS_CNRM-ESM2-1_ssp585_r1i1p1f2_Omon_gn,NA,NA,v20191021,v20191021,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_historical_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_historical_r1i1p1f1_Omon_gn,NA,NA,v20191108,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp126_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20191108,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp245_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp245_r1i1p1f1_Omon_gn,NA,NA,v20191108,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp370_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp370_r1i1p1f1_Omon_gn,NA,NA,v20191108,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp585_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp585_r1i1p1f1_Omon_gn,NA,NA,v20191108,NA,NA
CMIP6_CSIRO-ARCCSS_ACCESS-CM2_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
CMIP6_CSIRO_ACCESS-ESM1-5_historical_r1i1p1f1_Amon_gn,v20191115,v20191115,NA,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_historical_r1i1p1f1_Omon_gn,NA,NA,v20191115,NA,NA
CMIP6_CSIRO_ACCESS-ESM1-5_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20200817
